Название гостиницы;Район;Ближайшая станция метро;Адрес;Категория гостиницы;Инвестор;Оператор (бренд);Количество номеров;Дата ввода в эксплуатацию;Максимальная стоимость;Телефон;Услуги;Услуги в номере;Сайт;Электронный адрес;Кадастровый номер;Количество мест;Примечание;Источник данных;Муниципальное образование
"Васильевский остров";"Василеостровский";"Василеостровская";"г.Санкт-Петербург, 7-я линия В.О., дом 28, литера А";"Мини-гостиница";"Васильевский остров";"";"14";"2007";"1 800";"9134315";"заказ такси, заказ авиа и ж/д билетов";"телевизор, интернет Wi-Fi, рабочий стол, ванная комната";"http://www.v-ostrov.ru/";"mailto: info@v-ostrov.ru";"2034:18:95";"32";"";"Комитет по инвестициям";"муниципальный округ №7"
"Шанхай";"Василеостровский";"Василеостровская";"199026, г.Санкт-Петербург, Косая линия, дом 3, корпус 1, литера А";"3*";"Шанхай";"";"30";"2008";"3 800";"3222110, 3277889";"аренда конференц-залов, визовая поддержка, автостоянка, прачечная, химчистка, заказ такси,кафе-бар, сейф";"кондиционер, телефон, телевизор, кабельное ТВ, фен, холодильник, банные принадлежности, рабочий стол, ванная комната, кабельный интернет";"http://www.shtc.ru";"mailto: hotel@shtc.ru";"2091:07:28";"52";"";"Комитет по инвестициям";"муниципальный округ №7"
"Престиж Васильевский";"Василеостровский";"Василеостровская";"199053, г.Санкт-Петербург, 3-я линия В.О., дом 52, литера А";"3* Мини-гостиница";"";"";"6";"";"";"3 285 338";"визовая поддержка, автостоянка, заказ такси, камер";"";"http://www.prestige-hotels.com/";"";"2022:12:90";"0";"";"Комитет по инвестициям";"муниципальный округ Васильевский"
"Учебная гостиница № 1";"Василеостровский";"Василеостровская";"199178, г.Санкт-Петербург, 12-я линия В.О., дом 11, литера А";"Эконом класс";"Учебный комбинат №1";"";"6";"";"";"3219051";"телефон";"завтрак, интернет";"нет";"нет";"2043:1017:5";"22";"";"Комитет по инвестициям";"муниципальный округ №7"
"Кэт";"Василеостровский";"Василеостровская";"г.Санкт-Петербург, 17-я линия В.О., дом 66, литера В";"Эконом класс";"Василеостровский";"";"21";"";"";"9969966";"заказ такси, сейф, сауна, бассейн";"кондиционер, мини-бар, телевизор, видео, ванная комната";"нет";"нет";"2075:4:86";"42";"";"Комитет по инвестициям";"муниципальный округ Васильевский"
"Герцен Хаус";"Адмиралтейский";"Сенная площадь/Садовая/Спасская";"190000, г.Санкт-Петербург, Большая Морская улица, дом 25, литера А";"3*";"Аквамарин";"Valka hotels group";"20";"2005";"3 400";"3155550";"аренда конференц-залов, аренда автомобилей, визовая поддержка, услуги бизнес-центра, рестораны, автостоянка, заказ такси, фитнес-клуб, салон красоты, сувенирные магазины, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация";"телефон, телевизор, интернет Wi-Fi, фен, халат, тапочки, банные принадлежности, звонок-«будильник»/ Будильник, круглосуточное обслуживание в номере, рабочий стол, туалет, ванная комната";"http://www.herzen-hotel.com/";"mailto: info@herzen-hotel.ru";"1180:01:01";"48";"";"Комитет по инвестициям";"муниципальное образование Адмиралтейский округ"
"Apple Paradise";"Петроградский";"Спортивная";"197198, г.Санкт-Петербург, Большой проспект П.С., дом 13/4, литера А";"Апартамент-отель";"APPLE PARADISE";"";"5";"2006";"";"4985807";"аренда конференц-залов, аренда автомобилей, визовая поддержка, услуги бизнес-центра, рестораны, автостоянка, заказ такси, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в";"сейф, кондиционер, телефон, мини-бар, телевизор, видео, интернет Wi-Fi, фен, утюг, холодильник, кофеварка/ электрический чайник, халат, тапочки, банные принадлежности, гладильные принадлежности, звонок-«будильник»/ Будильник, круглосуточное обслуживание в";"http://www.apple-paradise.ru";"mailto: info@apple-paradise.ru";"3093:02:01";"20";"";"Комитет по инвестициям";"муниципальный округ Введенский"
"Base Camp";"Петроградский";"Спортивная";"197198, г.Санкт-Петербург, Большой проспект П.С., дом 4, литера А";"Хостел";"Бэйс Кэмп";"";"6";"2007";"";"2305087";"визовая поддержка, рестораны, автостоянка, заказ такси, камера хранения багажа, заказ авиа и ж/д билетов";"телефон, телевизор, спутниковое ТВ, интернет Wi-Fi, фен, банные принадлежности, звонок-«будильник»/будильник, круглосуточное обслуживание в номере, рабочий стол, душ, ванна, туалет, ванная комната";"http://www.bchostel.ru";"mailto: info@bchostel.org";"3095:2002:3";"37";"";"Комитет по инвестициям";"муниципальный округ №62"
"Grand Mark";"Адмиралтейский";"Адмиралтейская";"190000, г.Санкт-Петербург, Конногвардейский бульвар, дом 9, литера А";"Мини-гостиница";"Grand Mark";"";"5";"2006";"";"5700536";"рестораны, заказ такси, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий";"кондиционер, телефон, телевизор, интернет Wi-Fi, фен, халат, тапочки, банные принадлежности, звонок-«будильник»/ Будильник, круглосуточное обслуживание в номере, рабочий стол, туалет, ванная комната";"http://www.grandmarkhotels.com/";"mailto: info@grandmarkhotels.com";"1090:00:47";"12";"";"Комитет по инвестициям";"муниципальное образование Адмиралтейский округ"
"Modere";"Василеостровский";"Василеостровская";"199178, г.Санкт-Петербург, Малый проспект В.О., дом 30-32, литера А";"Мини-гостиница";"Modere";"";"4";"2007";"1 750";"9731935";"заказ такси, заказ авиа и ж/д билетов, организация туров и экскурсий";"телевизор, кабельное ТВ, туалет";"http://www.modere.ru/";"mailto: info@modere.ru";"2044:2001:3";"6";"";"Комитет по инвестициям";"муниципальный округ Васильевский"
"Rinaldi на Малом";"Василеостровский";"Василеостровская";"199053, г.Санкт-Петербург, Малый проспект В.О., дом 6, литера А";"3* Мини-гостиница";"";"";"4";"";"";"3254188";"визовая поддержка, организация туров и экскурсий,";"";"http://www.allinform.ru/gourl.php?orgID=2169750";"";"2022:21:72";"0";"";"Комитет по инвестициям";"муниципальный округ Васильевский"
"Rinaldi на Васильевском острове";"Василеостровский";"Василеостровская";"г.Санкт-Петербург, 4-я линия В.О., дом 13, литера А";"Мини-гостиница";"Rinaldi на Васильевском острове";"Rinaldi Hotels Group";"6";"2011";"3 550";"3254188";"аренда автомобилей, визовая поддержка, заказ такси, организация туров и экскурсий, бронирование и заказ билетов в театры";"телефон, телевизор, кабельное ТВ, фен, утюг, гладильные принадлежности, ванная комната";"http://www.rinaldi.ru";"mailto: info@rinaldi.ru";"2025:2004:11";"15";"";"Комитет по инвестициям";"муниципальный округ №7"
"Арт-отель Trezzini";"Василеостровский";"Василеостровская";"199004, г.Санкт-Петербург, 6-я линия В.О., дом 11, литера Д";"4*";"Trezzini";"";"17";"2006";"6 300";"3321035";"визовая поддержка, камера хранения багажа, организация туров и экскурсий, вызов такси, аренда автомобиля, заказ и бронирование авиа и ж/д билетов, прачечная, аренда конферец-залов";"сейф, телевизор, кабельное ТВ, фен, ванная комната";"http://www.trezzini-hotel.com/";"mailto: sale@trezzini-hotel.com";"2026:0:100";"48";"";"Комитет по инвестициям";"муниципальный округ №7"
"Апрель";"Адмиралтейский";"Сенная площадь/Садовая/Спасская";"190000, г.Санкт-Петербург, улица Якубовича, дом 2, литера А";"Эконом класс";"Петро Вендинг";"";"8";"2010";"1 630";"3144049, 9565619";"заказ такси, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий";"телефон, телевизор, интернет Wi-Fi, фен, халат, тапочки, банные принадлежности, звонок-«будильник»/ Будильник, круглосуточное обслуживание в номере, рабочий стол, туалет, ванная комната";"http://www.aprilhotel.ru/";"mailto: avgust-hotel@mail.ru";"1092:00:41";"16";"";"Комитет по инвестициям";"муниципальное образование Адмиралтейский округ"
"Аве Цезарь";"Василеостровский";"Василеостровская";"199053, г.Санкт-Петербург, 2-я линия В.О., дом 31, литера А";"Мини-гостиница";"Аве Цезарь";"";"3";"2008";"3 450";"9748142";"визовая поддержка, автостоянка, заказ такси, салон красоты, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, сейф";"сейф, кондиционер, телефон, мини-бар, телевизор, спутниковое ТВ, интернет кабельный, фен, банные принадлежности, рабочий стол, обслуживание номеров";"http://www.cezar-hotel.ru/";"mailto: info@cezar-hotel.ru";"2017:06:15";"6";"";"Комитет по инвестициям";"муниципальный округ №7"
"Альтбург на Васильевском";"Василеостровский";"Василеостровская";"199026, г.Санкт-Петербург, Большой проспект В.О., дом 56, литера А";"Мини-гостиница";"Альтбург";"";"8";"2008";"3 600";"2331600, 3270099";"визовая поддержка, рестораны, заказ такси, прачечная, химчистка, заказ авиа и ж/д билетов, бронирование и заказ билетов в театры, на концерты, мини-кухня";"кондиционер, телефон, телевизор, кабельное ТВ, видео, халат, тапочки, банные принадлежности, гладильные принадлежности, туалет, звонок-"будильник"";"http://www.altburg.ru/";"mailto: info@altburg.ru";"2081:00:03";"27";"";"Комитет по инвестициям";"муниципальный округ №7"
"Анник-Инн";"Адмиралтейский";"Адмиралтейская";"г.Санкт-Петербург, Малая Морская улица, дом 16, литера А";"Эконом класс Мини-гостиница";"";"";"7";"";"";"3155682";"";"";"";"";"1180:00:50";"0";"";"Комитет по инвестициям";"муниципальное образование Адмиралтейский округ"
"Прима, спорт отель";"Центральный";"Невский проспект/Гостиный двор";"г.Санкт-Петербург, Невский проспект, дом 5, литера А";"Хостел";"Soko Hotels";"Soko Hotels";"9";"2009";"";"3465049";"визовая поддержка, заказ такси, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"кондиционер, телевизор, кабельное ТВ, интернет Wi-Fi, фен, утюг, душ";"http://www.prima-nomerov.net/";"mailto: Julia@soko-hotels.ru";"1095:02:40";"33";"";"Комитет по инвестициям";"муниципальный округ №78"
"Невский, 5";"Центральный";"Невский проспект/Гостиный двор";"г.Санкт-Петербург, Невский проспект, дом 5, литера А";"Апартамент-отель";"Невский, 5";"";"8";"2008";"";"3352005";"трансфер, организация экскурсий, гладильная доска, телефон, ксерокс и компьютер с доступом в Интернет";"фен, интернет Wi-Fi";"http://www.all-hotels-online.ru/spb/mini-hotels/Nevsky_5";"нет";"1095:02:40";"35";"";"Комитет по инвестициям";"муниципальный округ №78"
"Апайда";"Василеостровский";"Василеостровская";"199048, г.Санкт-Петербург, 17-я линия В.О., дом 46, литера А";"Мини-гостиница";"Апайда";"";"13";"2004";"1 900";"3216675, 3238363";"визовая поддержка, автостоянка, заказ и бронирование авиа и жд билетов, заказ и доставка театральных билетов, вызов такси, прачечная";"сейф, кондиционер, телефон, телевизор, кабельное ТВ, интернет Wi-Fi, фен, утюг, халат, тапочки, банные принадлежности, гладильные принадлежности, круглосуточное обслуживание в номере, душ, туалет, ванная комната, кофеварка/электрический чайник, звонок-"бу";"http://www.paida.ru/";"нет";"2077:25:56";"28";"";"Комитет по инвестициям";"муниципальный округ Васильевский"
"Ватан";"Василеостровский";"Василеостровская";"г.Санкт-Петербург, 17-я линия В.О., дом 42";"Мини-гостиница 3*";"";"";"3";"";"";"3215037";"автостоянка, бар, кафе, вызов такси, прачечная, се";"";"нет";"";"2077:00:32";"0";"";"Комитет по инвестициям";""
"ВСЕГЕИ им. А.П. Карпинского";"Василеостровский";"Василеостровская";"199026, г.Санкт-Петербург, Средний проспект В.О., дом 74, литера А";"3*";"ВСЕГЕИ им. А.П. Карпинского";"";"30";"2000";"3 400";"3289043";"аренда конференц-залов, автостоянка, заказ авиа и ж/д билетов, кафе";"телевизор, кабельное ТВ, ванная комната";"http://www.vsegei.ru/ru/hotel";"mailto: hotel_vsegei@mail.ru";"2082:2003:24";"60";"";"Комитет по инвестициям";"муниципальный округ №7"
"Гостевой дом на Галерной";"Адмиралтейский";"Адмиралтейская";"190000, г.Санкт-Петербург, Галерная улица, дом 16, литера А";"Эконом класс Мини-гостиница";"";"";"6";"";"";"3149936, 3340049";"аренда конференц-залов, аренда автомобилей, визова";"";"нет";"";"1090:12:42";"0";"";"Комитет по инвестициям";"муниципальное образование Адмиралтейский округ"
"Гостиница Дома композиторов";"Адмиралтейский";"Сенная площадь/Садовая/Спасская";"190000, г.Санкт-Петербург, Большая Морская улица, дом 45, литера А";"Эконом класс";"Гостиница Дома Композиторов";"";"14";"1990";"1 200";"3148976";"рестораны, заказ такси, сувенирные магазины, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"телефон, телевизор, фен, халат, тапочки, банные принадлежности, рабочий стол, туалет, ванная комната";"нет";"нет";"1179:00:47";"26";"";"Комитет по инвестициям";"муниципальное образование Адмиралтейский округ"
"Делюкс Отель";"Адмиралтейский";"Сенная площадь/Садовая/Спасская";"190000, г.Санкт-Петербург, Галерная улица, дом 4, литера А";"Мини-гостиница";"Делюкс на Галерной";"";"8";"2006";"4 000";"3149242";"рестораны, заказ такси, прачечная, химчистка";"телефон, телевизор, фен, халат, тапочки, банные принадлежности, рабочий стол, туалет, ванная комната";"http://www.spbdeluxe.ru/";"mailto: deluxehotel@yahoo.com";"1090:00:45";"27";"";"Комитет по инвестициям";"муниципальное образование Адмиралтейский округ"
"Соло";"Адмиралтейский";"Сенная площадь/Садовая/Спасская";"г.Санкт-Петербург, Гороховая улица, дом 3, литера А";"Мини-гостиница";"SOLO";"Сеть мини-отелей Solo";"12";"2006";"3 400";"3159300";"заказ такси, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, кафе";"телефон, телевизор, фен, халат, тапочки, банные принадлежности, рабочий стол, туалет, ванная комната";"http://www.solo-hotel.ru/";"mailto: mail@solo-hotel.ru";"1094:14:10";"26";"";"Комитет по инвестициям";"муниципальное образование Адмиралтейский округ"
"Best Value Hotel";"Адмиралтейский";"Адмиралтейская, Невский проспект/Гостиный двор";"г.Санкт-Петербург, Адмиралтейская набережная, дом 12-14, литера А";"Мини-гостиница";"Best Value Hotel";"";"14";"2008";"1 900";"717-23-96";"заказ такси, организация туров и экскурсий, заказ и бронирование авиа и ж/д билетов";"телевизор, интернет Wi-Fi";"http://www.bvhotel.ru/";"mailto: www.bvhotel.ru";"1012:00:01";"30";"";"Комитет по инвестициям";"муниципальное образование Адмиралтейский округ"
"Location Hostel";"Адмиралтейский";"Адмиралтейская Невский проспект/Гостиный двор";"190000, г.Санкт-Петербург, Гороховая улица, дом 1, литера А";"Хостел";"Location Hostel";"";"6";"2009";"";"9 792 233";"камера хранения багажа";"нет";"http://www.location-hostel.ru/";"mailto: info@location-hostel.ru";"1094:08:09";"30";"";"Комитет по инвестициям";"муниципальное образование Адмиралтейский округ"
"Катюша";"Адмиралтейский";"Невский проспект/Гостиный двор";"г.Санкт-Петербург, Адмиралтейская набережная, дом 6, литера А";"Мини-гостиница";"Катюша";"";"6";"2007";"8 000";"3126919?";"заказ такси, камера хранения багажа, заказ авиа и ж/д билетов, прачечная химчистка";"телефон, телевизор, фен, холодильник, туалет, халат тапочки банные принадлежности, рабочий стол ,ванная комната";"http://www.hotelkatyusha.com/";"нет";"1014:00:03";"13";"";"Комитет по инвестициям";"муниципальное образование Адмиралтейский округ"
"Актер";"Адмиралтейский";"Невский проспект/Гостиный двор";"190000, г.Санкт-Петербург, Вознесенский проспект, дом 4, литера А";"Мини-гостиница";"Актер";"";"8";"2009";"3 200";"3350988";"заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры,на концерты";"кондиционер, спутниковое ТВ, интернет Wi-Fi, фен, холодильник, душ, ванная комната";"нет";"нет";"1094:03:15";"18";"";"Комитет по инвестициям";""
"ГРАФ ОРЛОВ";"Адмиралтейский";"Василеостровская";"190000, г.Санкт-Петербург, Галерная улица, дом 19, литера А";"Мини-гостиница";"Орлов";"";"8";"2006";"";"3121913";"заказ такси, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов";"телефон, телевизор, фен, холодильник, халат, тапочки, банные принадлежности, рабочий стол, туалет, ванная комната";"http://www.countorlov.ru/";"mailto: countorlov@yandex.ru";"1009:05:04";"16";"";"Комитет по инвестициям";"муниципальное образование Адмиралтейский округ"
"Гостиница союза художников СПб";"Адмиралтейский";"Сенная площадь/Садовая/Спасская";"190031, г.Санкт-Петербург, Большая Морская улица, дом 38, литера А";"Эконом класс";"Гостиница Союза Художников СПб";"";"7";"1951";"1 100";"5717879";"заказ такси, камера хранения багажа, заказ авиа и ж/д билетов, прачечная химчистка";"телефон, телевизор, фен, холодильник, туалет, халат тапочки банные принадлежности, рабочий стол ,ванная комната";"нет";"нет";"1257:00:28";"14";"";"Комитет по инвестициям";"муниципальное образование Адмиралтейский округ"
"ГЛОРИЯ";"Адмиралтейский";"Сенная площадь/Садовая/Спасская";"190000, г.Санкт-Петербург, переулок Гривцова, дом 6, литера А";"Мини-гостиница";"Глория";"";"5";"";"3 900";"3154943";"заказ такси, камера хранения багажа, заказ авиа и ж/д билетов, прачечная химчистка";"телефон, телевизор, фен, холодильник, туалет, халат тапочки банные принадлежности, рабочий стол ,ванная комната";"http://www.spbgloria.ru";"mailto: info@spbgloria.ru";"1291:0:67";"10";"";"Комитет по инвестициям";"муниципальное образование Сенной округ"
"История";"Адмиралтейский";"Сенная площадь/Садовая/Спасская";"г.Санкт-Петербург, набережная реки Мойки, дом 93, литера А";"Хостел";"История";"";"2";"2008";"2 350";"7777888";"заказ такси, заказ авиа и ж/д билетов";"телефон, телевизор, кабельное ТВ";"нет";"mailto: hotel-history@inbox.ru";"1256:06:01";"12";"";"Комитет по инвестициям";"муниципальное образование Адмиралтейский округ"
"Сабрина";"Центральный";"Невский проспект/Гостиный двор";"191065, г.Санкт-Петербург, Большая Морская улица, дом 21, литера А";"Мини-гостиница";"Сабрина";"";"5";"2004";"";"3147200";"автостоянка, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"телефон, телевизор, кухня, туалет";"http://www.sabrina-hotel.ru/";"mailto: reception@sabrina-hotel.ru";"1181:00:01";"10";"";"Комитет по инвестициям";"муниципальный округ №78"
"Комфорт Отель";"Адмиралтейский";"Сенная Адмиралтейская, площадь/Садовая/Спасская";"190000, г.Санкт-Петербург, Большая Морская улица, дом 25, литера А";"3*";"Балт Вист";"Valka hotels group";"18";"2003";"";"31465234, 570 6700";"заказ такси, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов";"телефон, телевизор, фен, холодильник, халат, тапочки, банные принадлежности, рабочий стол, туалет, ванная комната";"http://www.comfort-hotel.ru/,  http://www.vhotels.ru/";"mailto: info@comfort-hotel.ru";"1180:01:01";"48";"";"Комитет по инвестициям";"муниципальное образование Адмиралтейский округ"
"Невский Бриз Отель";"Адмиралтейский";"Невский проспект/Гостиный двор";"190000, г.Санкт-Петербург, Конногвардейский бульвар, дом 9, литера А";"Мини-гостиница";"Невский Бриз отель";"Nevsky Hotels Group";"10";"2008";"4 600";"5701146, 6111183";"аренда автомобилей, визовая поддержка, автостоянка, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий";"сейф, кондиционер, телефон, мини-бар, телевизор, интернет Wi-Fi, ванная комната";"http://www.hon.ru, http://www.nevskyhotelbreeze.com";"mailto: booking@nh-hotels.ru";"1090:00:47";"20";"";"Комитет по инвестициям";"муниципальное образование Адмиралтейский округ"
"Счастливый Пушкин";"Адмиралтейский";"Сенная площадь/Садовая/Спасская";"190000, г.Санкт-Петербург, Галерная улица, дом 53, литера А";"Эконом класс";"“Cчастливый Пушкин”";"";"35";"2007";"";"5701665";"заказ такси, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов";"телефон, телевизор, фен, халат, тапочки, банные принадлежности, рабочий стол, туалет, ванная комната";"http://www.happypushkin.com";"mailto: booking@happypushkin.com";"1007:12:22";"22";"";"Комитет по инвестициям";"муниципальное образование Адмиралтейский округ"
"Соната на Гороховой";"Адмиралтейский";"Сенная площадь/Садовая/Спасская";"г.Санкт-Петербург, Гороховая улица, дом 3, литера А";"3*";"Sonata Hotels";"Sonata Hotels";"17";"2003";"3 400";"3155112, 7089078";"заказ такси, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, кафе";"телефон, телевизор, фен, халат, тапочки, банные принадлежности, рабочий стол, туалет, ванная комната";"http://www.hotel-sonata.com/,  http://www.hotel-sonata.ru";"mailto: info@hotel-sonata.com";"1094:14:10";"34";"";"Комитет по инвестициям";"муниципальное образование Адмиралтейский округ"
"Престиж Центр Отель";"Адмиралтейский";"Сенная площадь/Садовая/Спасская";"г.Санкт-Петербург, Гороховая улица, дом 5, литера А";"3*";"Мегаполис";"Престиж";"37";"2005";"3 400";"3 120 405";"заказ такси, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов";"телефон, телевизор, фен, халат, тапочки, банные принадлежности, рабочий стол, туалет, ванная комната";"http://www.c-hotel.ru";"mailto: booking@prestige-hotels.com";"1094:00:12";"74";"";"Комитет по инвестициям";"муниципальное образование Адмиралтейский округ"
"Северный Свет";"Адмиралтейский";"Сенная площадь/Садовая/Спасская";"190000, г.Санкт-Петербург, Большая Морская улица, дом 50, литера А";"Мини-гостиница";"Северный Свет";"";"5";"2005";"";"5719199";"заказ такси, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов";"телефон, телевизор, фен, халат, тапочки, банные принадлежности, рабочий стол, туалет, ванная комната";"http://www.nlightsrussia.com";"mailto: info@nlightsrussia.com";"1256:02:02";"10";"";"Комитет по инвестициям";"муниципальное образование Адмиралтейский округ"
"Сабрина Апарт";"Адмиралтейский";"Невский проспект/Гостиный двор";"190000, г.Санкт-Петербург, Большая Морская улица, дом 53/8, литера А";"Мини-гостиница";"ИП Крепышева Елена Эдуардовна";"";"3";"2004";"";"3147201";"автостоянка, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"телефон, телевизор, кухня, туалет";"http://www.sabrina-hotel.ru";"mailto: reception@sabrina-hotel.ru";"1179:00:40";"6";"";"Комитет по инвестициям";"муниципальное образование Адмиралтейский округ"
"Green Apple";"Центральный";"Чернышевская";"г.Санкт-Петербург, Литейный проспект, дом 24, литер А";"Мини-гостиница";"Green Apple";"";"15";"2008";"2 450";"272 1023?";"аренда автомобилей, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"телефон, телевизор, холодильник, душ, туалет";"http://www.greenapplehotel.ru";"нет";"1268:2001:5";"31";"";"Комитет по инвестициям";"муниципальное образование Литейный округ"
"Мини Отель";"Центральный";"Чернышевская";"191028, г.Санкт-Петербург, Моховая улица, дом 44, литера А";"Мини-гостиница";"На Моховой";"";"3";"2006";"1 800";"2731032";"прачечная, химчистка, организация туров и экскурсий, аренда автомобиля";"телефон, телевизор, холодильник, душ, туалет";"http://www.hotel-namohovoy.ru";"нет";"1266:0:111";"8";"";"Комитет по инвестициям";"муниципальное образование Литейный округ"
"Аврора";"Центральный";"Чернышевская";"191028, г.Санкт-Петербург, улица Пестеля, дом 7, литера А";"Эконом класс";"Аврора";"";"15";"2005";"";"7777888";"сейф, камеры хранения багажа, организация туров и экскурсий";"телевизор, кабельное ТВ";"http://www.avroraotel.ru";"mailto: sharmspb@rambler.ru";"1189:17:71";"62";"";"Комитет по инвестициям";"муниципальное образование Литейный округ"
"Юлана на Фурштатской";"Центральный";"Чернышевская";"191028, г.Санкт-Петербург, Фурштатская улица, дом 2/12, литера А";"Мини-гостиница";"Юлана";"Юлана";"5";"2008";"2 800";"2734511";"заказ такси, организация туров и экскурсий, заказ и бронирование авиа и ж/д билетов";"телевизор, кабельное ТВ, круглосуточное обслуживание в номере";"http://www.ulanaspb.ru";"нет";"1197:03:12";"34";"";"Комитет по инвестициям";"муниципальное образование Литейный округ"
"Пятая Советская";"Центральный";"Площадь Восстания/Маяковская";"г.Санкт-Петербург, 5-я Советская улица, дом 11-13, литера А";"Мини-гостиница";"Пятая Советская";"";"7";"2010";"1 950";"9228838, 2717067";"заказ такси, прачечная химчистка";"кондиционер, телевизор, кабельное ТВ, интернет Wi-Fi, фен, утюг, круглосуточное обслуживание в номере, душ";"нет";"mailto: 5sovetskaya@gmail.com";"1466:00:09";"14";"";"Комитет по инвестициям";"муниципальное образование Смольнинское"
"Юлана на Орловском";"Центральный";"Площадь Восстания/Маяковская";"193036, г.Санкт-Петербург, Орловский переулок, дом 1/4, литера А";"Мини-гостиница";"Юлана";"Юлана";"4";"2008";"2 400";"9413910";"заказ такси, заказ авиа и ж/д билетов, организация туров и экскурсий";"телевизор, кабельное ТВ, круглосуточное обслуживание в номере";"http://www.ulanaspb.ru/";"mailto: ulana_hotel@mail.ru";"1494:02:01";"24";"";"Комитет по инвестициям";"муниципальное образование Смольнинское"
"Юлана на Орловском";"Центральный";"Площадь Восстания/Маяковская";"193036, г.Санкт-Петербург, Орловский переулок, дом 1/4, литера А";"Мини-гостиница";"Юлана";"Юлана";"4";"2008";"2 200";"9413910";"заказ такси, заказ авиа и ж/д билетов, организация туров и экскурсий";"телевизор, кабельное ТВ, круглосуточное обслуживание в номере";"http://www.ulanaspb.ru/";"mailto: ulana_hotel@mail.ru";"1494:02:01";"34";"";"Комитет по инвестициям";"муниципальное образование Смольнинское"
"Интернешнл Хостел";"Центральный";"Площадь Восстания/Маяковская";"193036, г.Санкт-Петербург, 3-я Советская улица, дом 28, литера А";"Хостел";"International Hostel";"";"14";"1995";"";"3298018";"заказ такси, интернет, телевизор";"нет";"http://www.ryh.ru/";"mailto: inquiries@ryh.ru";"1480:07:22";"40";"";"Комитет по инвестициям";"муниципальное образование Смольнинское"
"Суворов";"Центральный";"Площадь Восстания/Маяковская";"193130, г.Санкт-Петербург, 5-я Советская улица, дом 3/13, литера А";"3*";"Суворов";"";"19";"2005";"4 400";"2710859";"визовая поддержка, заказ такси, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"кондиционер, телевизор, кабельное ТВ, интернет Wi-Fi, фен, утюг, круглосуточное обслуживание в номере, душ";"http://www.suvorovhotel.spb.ru/";"mailto:info@suvorovhotel.spb.ru";"1466:00:17";"45";"";"Комитет по инвестициям";"муниципальное образование Смольнинское"
"Пио";"Центральный";"Чернышевская";"191028, г.Санкт-Петербург, Моховая улица, дом 39, литера А";"Мини-гостиница";"Солнце";"";"10";"2006";"";"2733585";"визовая поддержка, заказ такси, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"телевизор, кабельное ТВ, интернет Wi-Fi, фен, утюг, душ";"http://www.hotelpio.ru/";"mailto: info@hotelpio.ru";"1189:02:04";"28";"";"Комитет по инвестициям";"муниципальное образование Литейный округ"
"Золотой Ключик";"Центральный";"Чернышевская";"г.Санкт-Петербург, улица Чайковского, дом 81, литера А";"Мини-гостиница";"Золотой ключик";"";"3";"2001";"";"9 230 375";"аренда автомобилей, визовая поддержка, заказ такси, камера хранения багажа, заказ авиа и ж/д билетов, бронирование и заказ билетов в театры, на концерты";"кондиционер, телевизор, интернет Wi-Fi, фен, холодильник, халат, тапочки, банные принадлежности, круглосуточное обслуживание в номере, рабочий стол, душ, ванная комната";"http://www.gkey.spb.ru/";"mailto: info@gkey.spb.ru";"1201:2009:23";"6";"";"Комитет по инвестициям";"муниципальное образование Смольнинское"
